,ticker,sentiment
0,AACG,1
1,AAL,8
2,AAPL,18
3,ABBV,2
4,ABNB,2
5,ABT,1
6,ACAD,1
7,ACB,3
8,ACY,1
9,ADBE,3
10,ADGI,1
11,ADSK,1
12,ADT,1
13,AEMD,1
14,AFRM,6
15,AHPI,1
16,AI,1
17,ALF,2
18,ALGN,1
19,AMAT,3
20,AMC,14
21,AMD,15
22,AMRN,5
23,AMTD,2
24,AMZN,11
25,ANET,1
26,ANVS,1
27,ANY,1
28,APHA,1
29,APVO,1
30,ATER,1
31,ATVI,3
32,AUVI,1
33,AVGO,4
34,AVIR,1
35,AVXL,1
36,AZN,1
37,BA,14
38,BABA,16
39,BAC,12
40,BB,9
41,BBBY,2
42,BBIG,2
43,BBY,3
44,BFRI,1
45,BIDU,7
46,BIIB,4
47,BKKT,1
48,BLNK,2
49,BMY,2
50,BNGO,3
51,BNTX,2
52,BOX,1
53,BPTH,1
54,BTBT,3
55,BTTX,1
56,BTX,2
57,BYND,6
58,BYSI,1
59,BZUN,1
60,C,2
61,CAR,1
62,CARV,1
63,CAT,3
64,CCIV,9
65,CCXI,1
66,CEI,4
67,CELG,2
68,CEMI,1
69,CERE,1
70,CGC,5
71,CHGG,1
72,CHWY,1
73,CLF,1
74,CLNE,1
75,CLOV,7
76,CLPS,1
77,CLVS,2
78,CMG,2
79,COCP,1
80,COIN,5
81,COST,1
82,COUP,1
83,CRM,8
84,CRON,2
85,CRSR,1
86,CRWD,2
87,CSCO,5
88,CSX,1
89,CTRP,1
90,CUEN,1
91,CVS,5
92,CVX,1
93,DAL,8
94,DASH,1
95,DDD,2
96,DIS,13
97,DISCA,1
98,DKNG,8
99,DKS,1
100,DLPN,1
101,DLTR,1
102,DOCU,8
103,DWAC,2
104,EA,3
105,EBAY,1
106,EH,1
107,ENPH,3
108,ENTX,1
109,ETSY,3
110,EXPE,1
111,EYES,1
112,F,10
113,FAST,1
114,FB,16
115,FCEL,2
116,FDX,4
117,FE,1
118,FL,2
119,FSLY,3
120,FSR,3
121,FUBO,4
122,FULC,1
123,FUTU,1
124,GE,11
125,GENE,1
126,GEVO,1
127,GILD,5
128,GIS,1
129,GM,2
130,GME,7
131,GNUS,1
132,GOOG,5
133,GOOGL,4
134,GRUB,2
135,GS,2
136,GWH,1
137,HD,6
138,HGEN,1
139,HOOD,3
140,HTZ,2
141,IBM,6
142,IGC,1
143,ILMN,1
144,INDO,1
145,INDP,1
146,INO,4
147,INTC,12
148,IQ,7
149,IRNT,1
150,ISEE,1
151,ITCI,2
152,JD,3
153,JNJ,5
154,JPM,7
155,KHC,6
156,KO,1
157,KODK,3
158,KOSS,1
159,KSS,2
160,LB,1
161,LCID,9
162,LEDS,1
163,LGVN,1
164,LI,1
165,LK,1
166,LOW,4
167,LULU,4
168,LYFT,3
169,M,4
170,MARA,1
171,MCD,1
172,MDB,2
173,MEDS,1
174,MMM,1
175,MO,1
176,MOMO,1
177,MRIN,2
178,MRK,2
179,MRNA,13
180,MS,1
181,MSFT,20
182,MU,12
183,MVIS,3
184,MYL,1
185,NBEV,1
186,NCLH,3
187,NEGG,1
188,NFLX,13
189,NIO,13
190,NKE,4
191,NKLA,7
192,NKTR,1
193,NOK,1
194,NOVN,1
195,NTLA,1
196,NTNX,2
197,NTRB,1
198,NURO,2
199,NVAX,4
200,NVCR,1
201,NVDA,11
202,NXPI,1
203,OBLN,1
204,OCGN,9
205,OEG,1
206,OLB,1
207,OLLI,1
208,OPAD,1
209,ORCL,2
210,ORPH,1
211,OSTK,1
212,OXY,2
213,PBR,1
214,PCG,4
215,PDD,5
216,PFE,7
217,PG,1
218,PHUN,1
219,PINS,6
220,PLTR,21
221,PLUG,8
222,PM,2
223,PPSI,1
224,PTGX,1
225,PTON,10
226,PYPL,6
227,PYX,1
228,QCOM,8
229,QGEN,1
230,QQQ,20
231,QS,5
232,RAD,1
233,RBLX,8
234,RCL,3
235,RH,2
236,RHE,1
237,RHT,1
238,RIOT,6
239,RIVN,7
240,RKT,4
241,RMO,1
242,ROKU,12
243,SAGE,1
244,SAVA,6
245,SAVE,1
246,SBUX,3
247,SCKT,1
248,SEAS,1
249,SEEL,1
250,SFIX,2
251,SGLB,1
252,SGOC,1
253,SHOP,8
254,SKLZ,1
255,SKX,2
256,SLGG,1
257,SLS,1
258,SLV,1
259,SNAP,11
260,SNDL,2
261,SNOW,6
262,SOFI,2
263,SOLO,1
264,SOPA,3
265,SOS,3
266,SPCE,9
267,SPLK,4
268,SPOT,2
269,SPRT,3
270,SPY,23
271,SQ,11
272,SQQQ,12
273,SRNE,4
274,STZ,1
275,SYMC,2
276,T,15
277,TDOC,1
278,TGT,5
279,TKAT,1
280,TLRY,8
281,TME,2
282,TQQQ,23
283,TRCH,2
284,TSLA,10
285,TSM,1
286,TTD,6
287,TTWO,1
288,TVIX,10
289,TWLO,4
290,TWTR,13
291,TXN,1
292,UAL,7
293,UBER,8
294,UGAZ,1
295,ULTA,3
296,UNH,4
297,UPS,1
298,UPST,2
299,V,1
300,VCNX,1
301,VEEV,1
302,VIAC,6
303,VRPX,1
304,VRX,1
305,VXRT,2
306,VXX,3
307,WBA,2
308,WBT,1
309,WDAY,1
310,WDC,1
311,WEN,1
312,WFC,1
313,WISH,7
314,WKHS,4
315,WLL,1
316,WMT,6
317,WORK,5
318,X,1
319,XELA,2
320,XL,2
321,XLNX,3
322,XPEV,3
323,XPO,2
324,YELP,1
325,Z,1
326,ZEV,1
327,ZM,11
328,ZS,1
329,ZY,1
